key,scientificName,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,stateProvince,year,month,day,eventDate,lastInterpreted,license,isInCluster,datasetName,recordedBy,identifiedBy,samplingProtocol,geodeticDatum,class,countryCode,country,rightsHolder,identifier,habitat,institutionCode,dynamicProperties,samplingEffort,county,locality,gbifID,occurrenceID,type,individualCount,lifeStage,dateIdentified,continent,waterBody,modified,otherCatalogNumbers,preparations,associatedOccurrences,municipality,associatedReferences,fieldNumber,eventRemarks,catalogNumber,vernacularName,locationRemarks,fieldNotes,eventTime,nameAccordingTo,behavior,reproductiveCondition,recordNumber,informationWithheld,acceptedNameUsage,verbatimEventDate,nomenclaturalCode,footprintWKT,collectionCode,verbatimLocality,disposition,previousIdentifications,identificationQualifier,originalNameUsage,occurrenceRemarks,bibliographicCitation,institutionKey,higherGeography,accessRights,networkKeys,elevation,elevationAccuracy,ownerInstitutionCode,language,sex,coordinateUncertaintyInMeters,collectionKey,institutionID,georeferenceProtocol,endDayOfYear,georeferenceRemarks,startDayOfYear,collectionID,higherClassification,references,taxonConceptID,associatedSequences,taxonID,name
2908266377,"Rhinella jimi (Stevaux, 2002)",-9.6701,-36.7396,"gass84,txmathi",d0a90634-21fb-4c76-9081-98bf3930ad7c,f5fd374b-89cb-4ab6-b3eb-794c65f232c3,d0709e6e-78bf-49e8-8814-384ac4fb139f,BR,DWC_ARCHIVE,2022-04-23T14:48:56.614+00:00,2022-09-09T09:28:59.847+00:00,1,f5fd374b-89cb-4ab6-b3eb-794c65f232c3,HUMAN_OBSERVATION,PRESENT,5216855,1,44,131,952,6727,2422625,5216855,5216855,"Rhinella jimi (Stevaux, 2002)",Animalia,Chordata,Anura,Bufonidae,Rhinella,Rhinella jimi,Rhinella,jimi,SPECIES,ACCEPTED,LC,Alagoas,2019,12,16,2019-12-16T00:00:00,2022-09-09T09:28:59.847+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,Monitoramento fauna e flora Mineração Vale Verde do Brasil Ltda.,"MANEFAU - Ubiratan Gonçalves da Silva, Cristiane Nikely Silva Palmeira, José Vieira de Araújo Neto, Marcos Jorge Matias Dubeaux & Isaelly Carolina Martins Silva.","MANEFAU - Ubiratan Gonçalves da Silva, Cristiane Nikely Silva Palmeira, José Vieira de Araújo Neto, Marcos Jorge Matias Dubeaux & Isaelly Carolina Martins Silva.",Busca Ativa,WGS84,Amphibia,BR,Brazil,Mineração Vale Verde do Brasil Ltda.,Brasil:MVV:Amostragem243,Caatinga,MVV,"""{""""Status de conservação"""":""""LC""""}""",sem limitação de tempo,Craíbas,Mineração Vale Verde - Projeto Serrote,2908266377,Brasil:MVV:Amostragem243,event,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhinella jimi (Stevaux, 2002)"
2521255870,"Rhinella jimi (Stevaux, 2002)",-7.227606,-44.623389,"typstativ,cdpi,osiic,inmano,fpwktinv",6a1267c2-eae0-404f-a827-6dc27b3e1ba2,f5fd374b-89cb-4ab6-b3eb-794c65f232c3,d0709e6e-78bf-49e8-8814-384ac4fb139f,BR,DWC_ARCHIVE,2022-09-19T18:03:15.617+00:00,2022-09-19T18:04:08.051+00:00,211,f5fd374b-89cb-4ab6-b3eb-794c65f232c3,PRESERVED_SPECIMEN,PRESENT,5216855,1,44,131,952,6727,2422625,5216855,5216855,"Rhinella jimi (Stevaux, 2002)",Animalia,Chordata,Anura,Bufonidae,Rhinella,Rhinella jimi,Rhinella,jimi,SPECIES,ACCEPTED,LC,Maranhão,2017,9,19,2017-09-19T00:00:00,2022-09-19T18:04:08.051+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,Coletas Laboratório Mapinguari,"SILVA, L. A.","SILVA, L. A.",pitfall,WGS84,Amphibia,BR,Brazil,NA,br:UFMS:ZUFMS:ZUFMS-AMP13323,não informado,UFMS,NA,NA,Benedito Leite,Proximidades da margem do Rio Parnaíba,2521255870,br:UFMS:ZUFMS:ZUFMS-AMP13323,NA,1,Unknown,2019-01-01T00:00:00,SOUTH_AMERICA,nenhum,2019-11-27T00:00:00.000+00:00,nenhum,animal inteiro (ETOH 70%),nenhum,x,x,x,nenhuma,ZUFMS-AMP13323,x,nenhuma,nenhuma,x,"Frost, Darrel R., 2021",não informado,não informado,MAP5844; B20,nenhuma,"Rhinella jimi (Stevaux, 2002)",2017.IX.19,ICZN,x,ZUFMS,x,em coleção,x,x,x,nenhuma,x,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhinella jimi (Stevaux, 2002)"
2351131625,"Rhinella jimi (Stevaux, 2002)",NA,NA,"incomis,inmafu",b66a83bf-cccb-40a9-b643-1f95c9aeda37,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4,43d575e8-6726-46a9-9464-dca8952b0758,BR,DWC_ARCHIVE,2022-07-09T18:31:26.018+00:00,2022-09-09T08:39:56.256+00:00,231,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4,PRESERVED_SPECIMEN,PRESENT,5216855,1,44,131,952,6727,2422625,5216855,5216855,"Rhinella jimi (Stevaux, 2002)",Animalia,Chordata,Anura,Bufonidae,Rhinella,Rhinella jimi,Rhinella,jimi,SPECIES,ACCEPTED,LC,Pará,2015,4,19,2015-04-19T00:00:00,2022-09-09T08:39:56.256+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,NA,NA,NA,NA,NA,Amphibia,BR,Brazil,Museu Paraense Emílio Goeldi (MPEG),MPEG.HAM 039197,NA,MPEG,NA,NA,Bujaru,(Sem informação),2351131625,MPEG.HAM 039197,NA,NA,NA,NA,NA,NA,NA,39197,Meio Líquido - 1,NA,NA,NA,NA,NA,MPEG.HAM 039197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HAM,NA,NA,NA,NA,NA,NA,NA,bd096872-1315-4d9a-87e9-152e4af6eee9,"Pará, Bujaru",Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhinella jimi (Stevaux, 2002)"
1323986669,"Rhinella jimi (Stevaux, 2002)",-11.819722,-42.607222,"gass84,diffown",93145a4c-b47e-438e-9177-5e7e42895823,667644b9-7b93-4892-80c7-c4271735c515,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2022-10-16T17:30:29.019+00:00,2022-10-16T17:31:19.366+00:00,318,8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,5216855,1,44,131,952,6727,2422625,5216855,5216855,"Rhinella jimi (Stevaux, 2002)",Animalia,Chordata,Anura,Bufonidae,Rhinella,Rhinella jimi,Rhinella,jimi,SPECIES,ACCEPTED,LC,Bahia,2015,11,5,2015-11-05T00:00:00,2022-10-16T17:31:19.366+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,MBML-Anfibios - Coleção de Anfíbios MBML,Thiago Silva Soares e Juliana Lopes Segadilha,T. S. Soares,NA,WGS84,Amphibia,BR,Brazil,MBML-Anfibios - Coleção de Anfíbios MBML,BRA:MBML:MBML-ANFIBIOS:8306,NA,MBML,NA,NA,NA,"Ipupiara, Bahia.",1323986669,BRA:MBML:MBML-ANFIBIOS:8306,Collection,NA,NA,2016-01-28T00:00:00,NA,NA,2019-11-07T15:04:21.000+00:00,NA,NA,NA,Ipupiara,NA,NA,NA,8306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MBML-ANFIBIOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,Instituto Nacional da Mata Atlântica,pt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhinella jimi (Stevaux, 2002)"
2422227126,"Rhinella jimi (Stevaux, 2002)",-5.642778,-37.066944,"cdround,gass84,inmano",ecfe949a-8443-4f14-8c32-d36074ff21e7,e6c2fab8-8716-48b8-ae62-dacbc73b35b5,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2022-09-30T12:20:20.936+00:00,2022-09-30T12:21:07.174+00:00,172,8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,5216855,1,44,131,952,6727,2422625,5216855,5216855,"Rhinella jimi (Stevaux, 2002)",Animalia,Chordata,Anura,Bufonidae,Rhinella,Rhinella jimi,Rhinella,jimi,SPECIES,ACCEPTED,LC,Rn,2013,5,10,2013-05-10T00:00:00,2022-09-30T12:21:07.174+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,MCP-Anfibios - Coleção de Anfíbios,Ademir Jerônimo,NA,NA,WGS84,Amphibia,BR,Brazil,MCP-Anfibios - Coleção de Anfíbios,BRA:PUCRS:MCP-ANFIBIOS:000012712,NA,PUCRS,NA,NA,NA,.,2422227126,BRA:PUCRS:MCP-ANFIBIOS:000012712,Collection,NA,NA,NA,NA,NA,2021-09-30T18:42:12.000+00:00,NA,NA,NA,Açú,NA,NA,NA,000012712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCP-ANFIBIOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Pontifícia Universidade Católica do Rio Grande do Sul,pt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhinella jimi (Stevaux, 2002)"
2422227141,"Rhinella jimi (Stevaux, 2002)",-5.642778,-37.066944,"cdround,gass84,inmano",ecfe949a-8443-4f14-8c32-d36074ff21e7,e6c2fab8-8716-48b8-ae62-dacbc73b35b5,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2022-09-30T12:20:20.936+00:00,2022-09-30T12:21:07.174+00:00,172,8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,5216855,1,44,131,952,6727,2422625,5216855,5216855,"Rhinella jimi (Stevaux, 2002)",Animalia,Chordata,Anura,Bufonidae,Rhinella,Rhinella jimi,Rhinella,jimi,SPECIES,ACCEPTED,LC,Rn,2013,5,10,2013-05-10T00:00:00,2022-09-30T12:21:07.174+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,MCP-Anfibios - Coleção de Anfíbios,Ademir Jerônimo,NA,NA,WGS84,Amphibia,BR,Brazil,MCP-Anfibios - Coleção de Anfíbios,BRA:PUCRS:MCP-ANFIBIOS:000012715,NA,PUCRS,NA,NA,NA,.,2422227141,BRA:PUCRS:MCP-ANFIBIOS:000012715,Collection,NA,NA,NA,NA,NA,2021-09-30T18:42:12.000+00:00,NA,NA,NA,Açú,NA,NA,NA,000012715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCP-ANFIBIOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Pontifícia Universidade Católica do Rio Grande do Sul,pt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhinella jimi (Stevaux, 2002)"
2422227247,"Rhinella jimi (Stevaux, 2002)",-5.642778,-37.066944,"cdround,gass84,inmano",ecfe949a-8443-4f14-8c32-d36074ff21e7,e6c2fab8-8716-48b8-ae62-dacbc73b35b5,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2022-09-30T12:20:20.936+00:00,2022-09-30T12:21:07.174+00:00,172,8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,5216855,1,44,131,952,6727,2422625,5216855,5216855,"Rhinella jimi (Stevaux, 2002)",Animalia,Chordata,Anura,Bufonidae,Rhinella,Rhinella jimi,Rhinella,jimi,SPECIES,ACCEPTED,LC,Rn,2013,5,10,2013-05-10T00:00:00,2022-09-30T12:21:07.174+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,MCP-Anfibios - Coleção de Anfíbios,Ademir Jerônimo,NA,NA,WGS84,Amphibia,BR,Brazil,MCP-Anfibios - Coleção de Anfíbios,BRA:PUCRS:MCP-ANFIBIOS:000012713,NA,PUCRS,NA,NA,NA,.,2422227247,BRA:PUCRS:MCP-ANFIBIOS:000012713,Collection,NA,NA,NA,NA,NA,2021-09-30T18:42:12.000+00:00,NA,NA,NA,Açú,NA,NA,NA,000012713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCP-ANFIBIOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Pontifícia Universidade Católica do Rio Grande do Sul,pt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhinella jimi (Stevaux, 2002)"
2422227341,"Rhinella jimi (Stevaux, 2002)",-5.642778,-37.066944,"cdround,gass84,inmano",ecfe949a-8443-4f14-8c32-d36074ff21e7,e6c2fab8-8716-48b8-ae62-dacbc73b35b5,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2022-09-30T12:20:20.936+00:00,2022-09-30T12:21:07.175+00:00,172,8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,5216855,1,44,131,952,6727,2422625,5216855,5216855,"Rhinella jimi (Stevaux, 2002)",Animalia,Chordata,Anura,Bufonidae,Rhinella,Rhinella jimi,Rhinella,jimi,SPECIES,ACCEPTED,LC,Rn,2013,5,10,2013-05-10T00:00:00,2022-09-30T12:21:07.175+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,MCP-Anfibios - Coleção de Anfíbios,Ademir Jerônimo,NA,NA,WGS84,Amphibia,BR,Brazil,MCP-Anfibios - Coleção de Anfíbios,BRA:PUCRS:MCP-ANFIBIOS:000012714,NA,PUCRS,NA,NA,NA,.,2422227341,BRA:PUCRS:MCP-ANFIBIOS:000012714,Collection,NA,NA,NA,NA,NA,2021-09-30T18:42:12.000+00:00,NA,NA,NA,Açú,NA,NA,NA,000012714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCP-ANFIBIOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Pontifícia Universidade Católica do Rio Grande do Sul,pt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhinella jimi (Stevaux, 2002)"
2422227369,"Rhinella jimi (Stevaux, 2002)",-5.642778,-37.066944,"cdround,gass84,inmano",ecfe949a-8443-4f14-8c32-d36074ff21e7,e6c2fab8-8716-48b8-ae62-dacbc73b35b5,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2022-09-30T12:20:20.936+00:00,2022-09-30T12:21:07.174+00:00,172,8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,5216855,1,44,131,952,6727,2422625,5216855,5216855,"Rhinella jimi (Stevaux, 2002)",Animalia,Chordata,Anura,Bufonidae,Rhinella,Rhinella jimi,Rhinella,jimi,SPECIES,ACCEPTED,LC,Rn,2013,5,10,2013-05-10T00:00:00,2022-09-30T12:21:07.174+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,MCP-Anfibios - Coleção de Anfíbios,Ademir Jerônimo,NA,NA,WGS84,Amphibia,BR,Brazil,MCP-Anfibios - Coleção de Anfíbios,BRA:PUCRS:MCP-ANFIBIOS:000012716,NA,PUCRS,NA,NA,NA,.,2422227369,BRA:PUCRS:MCP-ANFIBIOS:000012716,Collection,NA,NA,NA,NA,NA,2021-09-30T18:42:12.000+00:00,NA,NA,NA,Açú,NA,NA,NA,000012716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCP-ANFIBIOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Pontifícia Universidade Católica do Rio Grande do Sul,pt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhinella jimi (Stevaux, 2002)"
2422228035,"Rhinella jimi (Stevaux, 2002)",-7.206111,-38.843611,"cdround,gass84,inmano",ecfe949a-8443-4f14-8c32-d36074ff21e7,e6c2fab8-8716-48b8-ae62-dacbc73b35b5,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2022-09-30T12:20:20.936+00:00,2022-09-30T12:21:07.174+00:00,172,8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,5216855,1,44,131,952,6727,2422625,5216855,5216855,"Rhinella jimi (Stevaux, 2002)",Animalia,Chordata,Anura,Bufonidae,Rhinella,Rhinella jimi,Rhinella,jimi,SPECIES,ACCEPTED,LC,Ce,2013,5,10,2013-05-10T00:00:00,2022-09-30T12:21:07.174+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,MCP-Anfibios - Coleção de Anfíbios,Ademir Jerônimo,NA,NA,WGS84,Amphibia,BR,Brazil,MCP-Anfibios - Coleção de Anfíbios,BRA:PUCRS:MCP-ANFIBIOS:000012717,NA,PUCRS,NA,NA,NA,.,2422228035,BRA:PUCRS:MCP-ANFIBIOS:000012717,Collection,NA,NA,NA,NA,NA,2021-09-30T18:42:12.000+00:00,NA,NA,NA,Barro,NA,NA,NA,000012717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCP-ANFIBIOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Pontifícia Universidade Católica do Rio Grande do Sul,pt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhinella jimi (Stevaux, 2002)"
2351136595,"Rhinella jimi (Stevaux, 2002)",NA,NA,"incomis,inmafu",b66a83bf-cccb-40a9-b643-1f95c9aeda37,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4,43d575e8-6726-46a9-9464-dca8952b0758,BR,DWC_ARCHIVE,2022-07-09T18:31:26.018+00:00,2022-09-09T08:39:53.904+00:00,231,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4,PRESERVED_SPECIMEN,PRESENT,5216855,1,44,131,952,6727,2422625,5216855,5216855,"Rhinella jimi (Stevaux, 2002)",Animalia,Chordata,Anura,Bufonidae,Rhinella,Rhinella jimi,Rhinella,jimi,SPECIES,ACCEPTED,LC,Maranhão,2012,2,23,2012-02-23T00:00:00,2022-09-09T08:39:53.904+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,NA,NA,NA,NA,NA,Amphibia,BR,Brazil,Museu Paraense Emílio Goeldi (MPEG),MPEG.HAM 037818,NA,MPEG,NA,NA,Caxias,APA do Inhamum,2351136595,MPEG.HAM 037818,NA,NA,NA,NA,NA,NA,NA,37818,Meio Líquido - 1,NA,NA,NA,NA,NA,MPEG.HAM 037818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HAM,NA,NA,NA,NA,NA,NA,NA,bd096872-1315-4d9a-87e9-152e4af6eee9,"Maranhão, Caxias",Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhinella jimi (Stevaux, 2002)"
2351138315,"Rhinella jimi (Stevaux, 2002)",NA,NA,"incomis,inmafu",b66a83bf-cccb-40a9-b643-1f95c9aeda37,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4,43d575e8-6726-46a9-9464-dca8952b0758,BR,DWC_ARCHIVE,2022-07-09T18:31:26.018+00:00,2022-09-09T08:39:53.877+00:00,231,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4,PRESERVED_SPECIMEN,PRESENT,5216855,1,44,131,952,6727,2422625,5216855,5216855,"Rhinella jimi (Stevaux, 2002)",Animalia,Chordata,Anura,Bufonidae,Rhinella,Rhinella jimi,Rhinella,jimi,SPECIES,ACCEPTED,LC,Maranhão,2012,2,23,2012-02-23T00:00:00,2022-09-09T08:39:53.877+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,NA,NA,NA,NA,NA,Amphibia,BR,Brazil,Museu Paraense Emílio Goeldi (MPEG),MPEG.HAM 037817,NA,MPEG,NA,NA,Caxias,APA do Inhamum,2351138315,MPEG.HAM 037817,NA,NA,NA,NA,NA,NA,NA,37817,Meio Líquido - 1,NA,NA,NA,NA,NA,MPEG.HAM 037817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HAM,NA,NA,NA,NA,NA,NA,NA,bd096872-1315-4d9a-87e9-152e4af6eee9,"Maranhão, Caxias",Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhinella jimi (Stevaux, 2002)"
2351126913,"Rhinella jimi (Stevaux, 2002)",NA,NA,"incomis,inmafu",b66a83bf-cccb-40a9-b643-1f95c9aeda37,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4,43d575e8-6726-46a9-9464-dca8952b0758,BR,DWC_ARCHIVE,2022-07-09T18:31:26.018+00:00,2022-09-09T08:39:53.686+00:00,231,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4,PRESERVED_SPECIMEN,PRESENT,5216855,1,44,131,952,6727,2422625,5216855,5216855,"Rhinella jimi (Stevaux, 2002)",Animalia,Chordata,Anura,Bufonidae,Rhinella,Rhinella jimi,Rhinella,jimi,SPECIES,ACCEPTED,LC,Maranhão,2012,4,5,2012-04-05T00:00:00,2022-09-09T08:39:53.686+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,NA,NA,NA,NA,NA,Amphibia,BR,Brazil,Museu Paraense Emílio Goeldi (MPEG),MPEG.HAM 035894,NA,MPEG,NA,NA,Arari,próximo ao rio Mearim (hotel),2351126913,MPEG.HAM 035894,NA,NA,NA,NA,NA,NA,NA,35894,Meio Líquido - 1,NA,NA,NA,NA,NA,MPEG.HAM 035894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HAM,NA,NA,NA,NA,NA,NA,NA,bd096872-1315-4d9a-87e9-152e4af6eee9,"Maranhão, Arari",Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhinella jimi (Stevaux, 2002)"
2351126301,"Rhinella jimi (Stevaux, 2002)",NA,NA,"incomis,inmafu",b66a83bf-cccb-40a9-b643-1f95c9aeda37,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4,43d575e8-6726-46a9-9464-dca8952b0758,BR,DWC_ARCHIVE,2022-07-09T18:31:26.018+00:00,2022-09-09T08:39:53.686+00:00,231,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4,PRESERVED_SPECIMEN,PRESENT,5216855,1,44,131,952,6727,2422625,5216855,5216855,"Rhinella jimi (Stevaux, 2002)",Animalia,Chordata,Anura,Bufonidae,Rhinella,Rhinella jimi,Rhinella,jimi,SPECIES,ACCEPTED,LC,Maranhão,2012,5,1,2012-05-01T00:00:00,2022-09-09T08:39:53.686+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,NA,NA,NA,NA,NA,Amphibia,BR,Brazil,Museu Paraense Emílio Goeldi (MPEG),MPEG.HAM 035895,NA,MPEG,NA,NA,Arari,pitfall 1,2351126301,MPEG.HAM 035895,NA,NA,NA,NA,NA,NA,NA,35895,Meio Líquido - 1,NA,NA,NA,NA,NA,MPEG.HAM 035895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HAM,NA,NA,NA,NA,NA,NA,NA,bd096872-1315-4d9a-87e9-152e4af6eee9,"Maranhão, Arari",Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhinella jimi (Stevaux, 2002)"
2351126547,"Rhinella jimi (Stevaux, 2002)",NA,NA,"incomis,inmafu",b66a83bf-cccb-40a9-b643-1f95c9aeda37,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4,43d575e8-6726-46a9-9464-dca8952b0758,BR,DWC_ARCHIVE,2022-07-09T18:31:26.018+00:00,2022-09-09T08:39:53.689+00:00,231,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4,PRESERVED_SPECIMEN,PRESENT,5216855,1,44,131,952,6727,2422625,5216855,5216855,"Rhinella jimi (Stevaux, 2002)",Animalia,Chordata,Anura,Bufonidae,Rhinella,Rhinella jimi,Rhinella,jimi,SPECIES,ACCEPTED,LC,Maranhão,2012,5,5,2012-05-05T00:00:00,2022-09-09T08:39:53.689+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,NA,NA,NA,NA,NA,Amphibia,BR,Brazil,Museu Paraense Emílio Goeldi (MPEG),MPEG.HAM 035896,NA,MPEG,NA,NA,Arari,próximo ao pitfall 5,2351126547,MPEG.HAM 035896,NA,NA,NA,NA,NA,NA,NA,35896,Meio Líquido - 1,NA,NA,NA,NA,NA,MPEG.HAM 035896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HAM,NA,NA,NA,NA,NA,NA,NA,bd096872-1315-4d9a-87e9-152e4af6eee9,"Maranhão, Arari",Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhinella jimi (Stevaux, 2002)"
